Unnamed: 0,격자번호,위경도,교통량(척),밀집도(%),어선,여객선,화물선,유조선,예인선,수상레저기구,기타선,1t미만,1t ~ 2t,2t ~ 3t,3t ~ 5t,5t ~ 10t,10t ~ 50t,50t ~ 100t,100t ~ 500t,500t이상,미상,위도,경도,범위
0,GR3_G3E11_G,"34.925, 128.075",191,7.19,156,1,1,0,6,0,27,3,22,29,59,38,2,0,6,1,31,34.925,128.075,0
1,GR3_F4H23_E,"34.725, 127.725",141,5.85,83,1,1,9,1,1,45,1,7,6,10,40,4,7,11,0,55,34.725,127.725,0
2,GR3_G3B33_L,"35.125, 129.075",122,83.25,2,3,16,47,13,0,41,0,0,0,0,0,1,3,25,18,75,35.125,129.075,4
3,GR3_G3B33_P,"35.075, 129.025",118,25.48,39,1,6,11,11,1,49,0,0,1,4,4,7,1,13,4,84,35.075,129.025,4
4,GR3_F4G12_R,"34.825, 126.375",107,3.0,72,0,0,0,2,0,33,4,30,3,6,9,8,8,2,0,37,34.825,126.375,0
5,GR3_F4K23_U,"33.525, 126.525",105,37.46,68,3,4,1,3,0,26,0,0,0,7,45,2,5,8,6,32,33.525,126.525,0
6,GR3_F2O32_J,"36.425, 126.475",96,2.22,70,0,2,0,0,0,24,0,3,0,13,50,0,0,2,0,28,36.425,126.475,0
7,GR3_G3A44_T,"35.075, 128.975",96,22.94,60,1,8,1,7,0,19,1,26,11,10,2,1,0,5,1,39,35.075,128.975,4
8,GR3_F4C12_L,"35.875, 126.325",94,1.61,65,0,0,0,0,0,29,0,0,0,1,62,0,0,0,0,31,35.875,126.325,0
9,GR3_G3E12_S,"34.825, 128.425",92,5.5,62,8,0,0,0,2,20,1,2,7,26,11,2,8,8,0,27,34.825,128.425,0
10,GR3_F2O41_P,"36.325, 126.525",91,3.4,65,1,1,0,1,0,23,0,2,6,22,23,7,3,1,0,27,36.325,126.525,0
11,GR3_G1I22_L,"37.875, 128.825",91,1.94,90,1,0,0,0,0,0,0,32,19,29,7,1,0,0,0,3,37.875,128.825,0
12,GR3_G3A43_R,"35.075, 128.625",90,0.73,83,0,0,1,1,0,5,2,18,16,32,4,7,2,1,0,8,35.075,128.625,2
