,port_code,loc_type,info,location,min_ton,max_ton
0,KRPUS,1,정박지,"[{lat:35.07645, lng:129.04538}, {lat:35.07645, lng:129.03402}, {lat:35.06336, lng:129.03549}, {lat:35.06336, lng:129.06442}]



",30000.0,200000.0
1,KRPUS,1,정박지,"[{lat:35.07645, lng:129.02445}, {lat:35.07645, lng:129.03112}, {lat:35.05281, lng:129.03112}, {lat:35.05281, lng:129.01497}]",30000.0,200000.0
2,KRPUS,1,정박지,"[{lat:35.06336, lng:129.06442}, {lat:35.06336, lng:129.03552}, {lat:35.04430, lng:129.03708}, {lat:35.04861, lng:129.08608}]",30000.0,200000.0
3,KRPUS,1,정박지,"[{lat:35.04841, lng:129.08572}, {lat:35.04430, lng:129.03708}, {lat:35.02686, lng:129.04391}, {lat:35.03731, lng:129.09341}]",30000.0,200000.0
4,KRPUS,1,정박지,"[{lat:35.02686, lng:129.04391}, {lat:35.00319, lng:129.04391}, {lat:35.00319, lng:129.07992}, {lat:35.03731, lng:129.09341}]",30000.0,200000.0
5,KRPUS,1,외항 정박지,"[{lat:34.786037, lng:128.92432}, {lat:34.788974, lng:128.865957}, {lat:34.821493, lng:128.877595}, {lat:34.82454, lng:128.902044}, {lat:34.786037, lng:128.92432}]",,
6,KRPUS,1,외항 정박지,"[{lat:34.699339, lng:129.037602}, {lat:34.70205, lng:129.002127}, {lat:34.7198, lng:128.983878}, {lat:34.738953, lng:129.015696}, {lat:34.736253, lng:129.021329}, {lat:34.699339, lng:129.037602}]",,
7,KRPUS,1,외항 정박지,"[{lat:34.997709, lng:128.862255}, {lat:34.999466, lng:128.861222}, {lat:35.001363, lng:128.860673}, {lat:35.012346, lng:128.892477}, {lat:35.003338, lng:128.887655}, {lat:34.997709, lng:128.862255}]",,
8,KRPUS,3,한국허치슨터미널,"{lat:35.123558, lng:129.059705}",,
9,KRPUS,3,부산항신선대터미널,"{lat:35.103865, lng:129.095977}",,
10,KRPUS,3,동부부산터미널,"{lat:35.107986, lng:129.071731}",,
11,KRPUS,3,부산항감만터미널,"{lat:35.105627, lng:129.085477}",,
12,KRBNP,1,정박지,"[{lat:35.02031, lng:128.90606}, {lat:35.01056, lng:128.91861}, {lat:35.00236, lng:128.92070}, {lat:34.99002, lng:128.85878}, {lat:35.00289, lng:128.85525}, {lat:35.00614, lng:128.87458}, {lat:35.01461, lng:128.87248}]",30000.0,250000.0
13,KRBNP,1,외항 정박지,"[{lat:34.786037, lng:128.92432}, {lat:34.788974, lng:128.865957}, {lat:34.821493, lng:128.877595}, {lat:34.82454, lng:128.902044}, {lat:34.786037, lng:128.92432}]",,
14,KRBNP,1,외항 정박지,"[{lat:34.699339, lng:129.037602}, {lat:34.70205, lng:129.002127}, {lat:34.7198, lng:128.983878}, {lat:34.738953, lng:129.015696}, {lat:34.736253, lng:129.021329}, {lat:34.699339, lng:129.037602}]",,
