VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
00260274-dbeb-3672-a688-34cfeb851acc,KOTA PAHLAWAN,563033800,9786712,9V5293,CONTAINER,330.0,48.0,107,223,30,18,113976
003756d7-a298-391e-ba9b-d336079996a8,XIN WEN ZHOU,414736000,9523043,BPKJ,CONTAINER,255.0,37.0,199,56,13,24,47917
00a3b1cf-589e-39b4-8c26-fc7975e53188,MILD SONATA,477390900,9666857,VRNF6,CONTAINER,148.0,23.0,130,18,8,15,9994
00b5ffd0-eec0-3fd1-b0c4-0a4f55ccf412,PACIFIC BEIJING,563156900,9378931,9V8000,CONTAINER,148.0,24.0,137,11,10,14,9940
0146695a-b3e9-3bf1-8cf7-48781657c287,HMM HANUL,636020744,9869239,5LAM7,CONTAINER,366.0,51.0,112.0,254.0,18.0,33.0,153150.0
018666c5-2b0d-323b-8c36-b27fac5f7c65,ULTIMA,311000169,9674646,C6AV9,CONTAINER,141.0,23.0,118,23,14,9,9568
01a317cd-b15d-319a-b43c-97763f5f718a,MSC SAGITTA III,255806485,9401166,CQEU2,CONTAINER,229.0,32.0,214,15,21,11,36519
01a950b5-6f5f-3ef3-9655-835f4b9864b0,KMTC DELHI,441401000,9409182,D7WN,CONTAINER,299.0,40.0,225,74,20,20,73779
01bb3ded-6e6b-3e7e-8705-5f9dbda9c098,ALS KRONOS,636017175,9327786,D5JQ6,CONTAINER,276.0,40.0,186,90,23,17,66199
01bc31a7-dfb3-3ef5-be38-023fdb4b3d9e,EVER ORIENT,477642100,9872377,VRTS8,CONTAINER,195.0,32.0,150,45,4,28,29214
01e83260-8ec2-3534-9333-c5ed18e03321,SM JAKARTA,440206000,9219240,D7DP,CONTAINER,168.0,27.0,136,32,8,19,16850
01e96ebf-7b99-3f42-b720-05e40121a476,MCC SHENZHEN,305977000,9634696,V2GK7,CONTAINER,172.0,27.0,154,18,21,6,17769
