,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
0,부산,9LU2815,KIRI,2021,2,최종,내항,출항,19,2021-09-19 10:20,2022-09-01 19:00,2022-09-01 18:00,2022-09-07 11:23,기타,,MK1,01,감천 1부두 1선석,부산,남항,일반화물선,1.0,,,Y,N,,
1,부산,9LU2090,AMS 1,2022,1,최종,외항,출항,"2,727",2022-04-19 09:00,2022-09-08 15:50,2022-09-08 14:00,2022-09-13 18:06,기타,22GLKO0028E,WAN,02,남외항 N-2박지,OCEAN DISTRICT,인천,일반화물선,,14.0,,Y,Y,,
2,부산,070592,현대 당진,2022,6,최종,내항,출항,"2,792",2022-04-27 10:53,2022-09-17 12:04,,2022-09-27 10:38,기타,,MYF,01,선기조합-01(포코),기타항,기타항,일반화물선,5.0,5.0,0.0,Y,Y,,
3,부산,PCPV,LIZ F,2022,1,최종,외항,출항,327,2022-05-25 12:50,2022-10-21 12:00,2022-10-21 15:00,2022-10-21 15:36,기타,22HBAC0504E,WAN,01,남외항 N-1박지,OCEAN DISTRICT,"HOSHIKA, NAGASAKI",일반화물선,,5.0,,N,N,,
4,부산,JVNN7,ARCHE,2022,3,최종,외항,출항,498,2022-06-01 08:00,2022-09-02 08:50,2022-09-02 08:30,2022-09-02 11:02,기타,22YEIL0141E,MQA,01,삼한안벽-01,부산,감천,일반화물선,,1.0,,Y,N,,
5,인천,5LGY6,USG ZURICH,2022,1,최종,외항,출항,"20,682",2022-07-20 19:30,2022-09-01 16:05,2022-09-01 14:00,2022-09-02 09:48,기타,22L37KA137E,MB1,06,내항 1부두 16선석,QINGDAO,TIANJIN,일반화물선,,20.0,,Y,Y,,
6,부산,JVKY7,HAI SHUN,2022,1,최종,외항,출항,"3,772",2022-07-29 19:48,2022-09-24 12:57,2022-09-24 13:00,2022-10-04 14:29,기타,22THLED081E,WAN,03,남외항 N-3박지,TAICHUNG,KAOHSIUNG,일반화물선,,8.0,,Y,Y,,
7,부산,JVWZ7,CULLINAN MARU,2022,2,최종,외항,출항,202,2022-08-09 05:55,2022-09-02 12:14,2022-09-02 11:14,2022-09-08 09:15,기타,22JPLKDD96E,MQA,01,삼한안벽-01,OCEAN DISTRICT,SHIMONOSEKI,일반화물선,,1.0,,Y,Y,,
8,인천,3EYX5,UZAY,2022,3,최종,외항,출항,"6,756",2022-08-10 07:30,2022-10-04 07:05,2022-10-03 20:00,2022-10-04 10:02,기타,22L23KUZAYE,WAW,04,W박지 W04,부산,LONGYAN PT,일반화물선,,14.0,,N,Y,,
9,부산,9LU2361,MM RUNNER,2022,4,최종,외항,출항,"3,580",2022-08-12 23:05,2022-09-02 18:05,2022-09-02 17:00,2022-09-05 15:07,기타,22KRMSK210E,WAO,02,O박지 O2 묘지,NAKHODKA,NAKHODKA,일반화물선,,15.0,,Y,Y,,
10,부산,DIJA2,SVENJA,2022,1,최종,외항,출항,"15,026",2022-08-13 15:34,2022-09-04 09:05,2022-09-04 09:05,2022-09-05 08:49,기타,22WIZYD057E,MYF,08,선기조합-08(오리엔트),KOBE,BALBOA,일반화물선,0.0,19.0,0.0,Y,Y,,
11,부산,D5ZL4,BBG GUILIN,2022,2,최종,외항,출항,"34,584",2022-08-18 21:30,2022-09-02 15:40,2022-09-02 15:40,2022-09-05 10:17,기타,22POBUB222E,MB5,01,5부두 51선석(양곡부두),인천,KALTAG,일반화물선,,21.0,,Y,Y,,
12,부산,D7GT,ST LILY,2022,2,최종,외항,출항,"6,004",2022-08-20 11:15,2022-09-08 16:00,2022-09-08 15:00,2022-09-13 14:01,선명변경,22SPSWZ091E,MYF,01,선기조합-01(포코),NIIGATA,OSAKA,일반화물선,2.0,15.0,,Y,Y,,
13,부산,T8A3999,MABROKAH,2022,1,최종,외항,출항,"26,028",2022-08-20 14:20,2022-09-02 12:22,2022-09-02 12:22,2022-09-05 10:32,기타,22TFIVM105E,WAM,09,M박지 M9 묘지,OCEAN DISTRICT,ZHENJIANG,일반화물선,,25.0,1.0,N,N,,
14,부산,BS202234,KINEI MARU NO.12,2022,1,최종,내항,출항,748,2022-08-21 07:30,2022-09-01 11:15,,2022-10-28 19:13,기타,,MYF,03,선기조합-03(대흥조선),여수,ONOMICHI,일반화물선,3.0,1.0,0.0,N,Y,,
15,인천,V7II8,TOMINI NORTE,2022,1,최종,외항,출항,"23,741",2022-08-23 15:40,2022-09-03 00:00,2022-09-02 22:00,2022-09-05 09:13,기타,22POBUB168E,MB7,02,내항 7부두 72선석,부산,VANCOUVER,일반화물선,,21.0,,Y,Y,,
16,부산,DSRD5,제36대양호,2022,11,최종,내항,출항,"1,590",2022-08-24 12:30,2022-09-01 16:35,,2022-09-02 09:59,기타,,MYF,12,셔우드코리아,여천항,기타항,일반화물선,5.0,5.0,0.0,Y,N,,
17,인천,3FIJ8,SUBARU 7,2022,3,최종,외항,출항,"6,178",2022-08-24 13:15,2022-09-01 18:40,2022-09-01 16:30,2022-09-02 09:48,기타,22PLUSA300E,MB3,02,내항 3부두 32선석,RIZHAO,JIMENEZ/OZAMIS,일반화물선,,17.0,,Y,Y,,
18,인천,VRMG2,VENUS,2022,2,최종,외항,출항,"7,760",2022-08-25 07:10,2022-09-08 16:55,2022-09-08 15:00,2022-09-13 08:55,기타,22JOASD227E,MBB,03,북항 동원로엑스부두 3선석,TIANJIN XINGANG PT,SAMALAJU,일반화물선,,19.0,,Y,Y,,
19,부산,9LU2897,XING YUE 688,2022,1,최종,외항,출항,"1,832",2022-08-25 12:33,2022-09-02 12:03,2022-09-02 12:00,2022-09-05 15:07,기타,22THLED092E,MQU,01,부광조선 2안벽(YS조선),OCEAN DISTRICT,KAOHSIUNG,일반화물선,,9.0,,Y,Y,,
20,인천,V7A5045,TOLMI,2022,1,최종,외항,출항,"44,487",2022-08-26 05:50,2022-09-01 18:00,2022-09-01 16:00,2022-09-02 09:49,기타,22PLUSA302E,MB4,03,내항 4부두 43선석,울산,SINGAPORE,일반화물선,,21.0,,Y,Y,,
21,부산,H9JL,SUN SHINE,2022,1,최종,외항,출항,"17,825",2022-08-26 23:12,2022-09-01 06:30,2022-09-01 05:00,2022-09-01 09:12,기타,22HSSC074DE,WAN,04,남외항 N-4박지,고현,TAICHUNG,일반화물선,9.0,11.0,,Y,N,,
22,인천,171825,백령 153호,2022,30,최종,내항,출항,368,2022-08-27 03:35,2022-09-01 15:05,,2022-09-02 10:17,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,4.0,0.0,0.0,N,N,,
23,부산,LANT5,STAR ISMENE,2022,1,최종,외항,출항,"32,628",2022-08-27 22:30,2022-09-02 12:00,2022-09-02 12:00,2022-09-05 17:48,기타,22GBPL2025E,MKC,02,감천 중앙부두 2선석,인천,OSAKA,일반화물선,,21.0,,Y,Y,,
24,부산,V2HN6,IMKE,2022,1,최종,외항,출항,"11,473",2022-08-28 08:25,2022-09-25 15:55,2022-09-25 15:55,2022-09-28 11:17,기타,22WIZYD065E,MYF,08,선기조합-08(오리엔트),마산,OHFUNATO,일반화물선,,17.0,,Y,Y,,
25,인천,V3ZQ6,XIANG HAN 8,2022,5,최종,외항,출항,"2,991",2022-08-29 00:55,2022-09-01 16:10,2022-09-01 13:30,2022-09-01 20:07,기타,22L54KI198E,MBU,01,북항 대한통운부두 1선석,JINGTANG(TANGSHAN),YOKOHAMA,일반화물선,,14.0,,Y,Y,,
26,인천,091413,제23금진,2022,15,최종,내항,출항,"1,691",2022-08-29 07:00,2022-09-01 07:05,,2022-09-01 20:10,기타,,MDU,03,영흥도 영흥화력3돌핀,울산,묵호,일반화물선,5.0,4.0,,N,N,,
27,인천,176701,옹진페리호,2022,61,최종,내항,출항,156,2022-08-29 19:10,2022-09-13 09:40,,2022-09-23 09:39,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,2.0,0.0,0.0,N,N,,
28,인천,885116,강남호,2022,62,최종,내항,출항,113,2022-08-30 12:40,2022-09-13 09:05,,2022-09-13 10:54,개인항해,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,2.0,0.0,9.0,N,N,,
29,인천,3FQW8,BR FAIRY,2022,17,최종,외항,출항,"2,509",2022-08-30 18:20,2022-09-06 12:00,2022-09-02 14:30,2022-09-06 13:43,기타,22L54KI202E,WWB,01,제1입항대기정박지(북장자서),"MISUMI, KUMAMOTO",HANNAN,일반화물선,2.0,9.0,,Y,Y,,
30,인천,VRAU2,OCEAN CONFIDENCE,2022,1,최종,외항,출항,"88,853",2022-08-30 19:15,2022-09-11 15:40,2022-09-11 13:30,2022-09-11 16:01,기타,22POBUYA10E,MDU,02,영흥도 영흥화력2돌핀,FUZHOU,NEWCASTLE,일반화물선,,23.0,,Y,Y,,
