VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
00b5ffd0-eec0-3fd1-b0c4-0a4f55ccf412,PACIFIC BEIJING,563156900,9378931.0,9V8000,CONTAINER,148.0,24.0,137.0,11.0,10.0,14.0,9940.0
0146695a-b3e9-3bf1-8cf7-48781657c287,HMM HANUL,636020744,9869239.0,5LAM7,CONTAINER,366.0,51.0,112.0,254.0,18.0,33.0,153150.0
018666c5-2b0d-323b-8c36-b27fac5f7c65,ULTIMA,311000169,9674646.0,C6AV9,CONTAINER,141.0,23.0,118.0,23.0,14.0,9.0,9568.0
01a950b5-6f5f-3ef3-9655-835f4b9864b0,KMTC DELHI,441401000,9409182.0,D7WN,CONTAINER,299.0,40.0,225.0,74.0,20.0,20.0,73779.0
01bb3ded-6e6b-3e7e-8705-5f9dbda9c098,ALS KRONOS,636017175,9327786.0,D5JQ6,CONTAINER,276.0,40.0,186.0,90.0,23.0,17.0,66199.0
01e83260-8ec2-3534-9333-c5ed18e03321,SM JAKARTA,440206000,9219240.0,D7DP,CONTAINER,168.0,27.0,136.0,32.0,8.0,19.0,16850.0
01e96ebf-7b99-3f42-b720-05e40121a476,MCC SHENZHEN,305977000,9634696.0,V2GK7,CONTAINER,172.0,27.0,154.0,18.0,21.0,6.0,17769.0
0203650e-3d12-387e-982b-3b9d69758061,MSC VIVIANA,636017882,9777216.0,D5ND7,CONTAINER,400.0,58.0,129.0,271.0,16.0,42.0,187587.0
024efb36-ed35-3c42-90d0-c432f949db1e,MAERSK ANTARES,565661000,9342504.0,9VHK7,CONTAINER,338.0,46.0,246.0,92.0,20.0,26.0,108393.0
034b5ec9-eafd-3d1f-a208-a7dd05bd41ca,SITC HAINAN,477548900,9712759.0,VROF7,CONTAINER,172.0,28.0,130.0,42.0,14.0,14.0,17119.0
0359a9fc-db7a-3187-9550-f9a3b3c90f37,MANILA VOYAGER,538009596,9128099.0,V7A4937,CONTAINER,200.0,27.0,167.0,33.0,21.0,6.0,24053.0
03fc50bf-17e8-38d3-b09f-3fb7188c6023,ACACIA ARIES,355027000,9124689.0,3EPG2,CONTAINER,114.0,20.0,106.0,8.0,10.0,10.0,5658.0
0434983d-bd87-39a4-a1e7-6678692ed467,PRESIDENT TRUMAN,338679000,9538658.0,WPTC,CONTAINER,300.0,40.0,230.0,70.0,26.0,14.0,75015.0
